,hip1,,hip2,,hip3,,femur1,,femur2,,femur3,,tibia1,,tibia2,,tibia3,
Time,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.041667,0.13033,2.906668,0.132394,2.834807,0.13702,2.711101,0.148289,2.336348,0.161645,2.024852,0.173387,1.759532,0.215856,1.363129,0.32062,1.045581,0.452281,0.678382
1.05,0.130308,2.906601,0.136006,2.831956,0.137186,2.711117,0.148707,2.336516,0.162049,2.025084,0.173865,1.759791,0.216591,1.363497,0.321787,1.046213,0.453848,0.679083
1.058333,0.130338,2.90658,0.130879,2.836191,0.137098,2.711168,0.148885,2.336752,0.162484,2.025324,0.174323,1.760023,0.217286,1.363881,0.322959,1.046839,0.455629,0.680027
1.066667,0.12584,2.905533,0.130799,2.83606,0.136666,2.71153,0.14875,2.336801,0.162914,2.025455,0.174741,1.760124,0.218109,1.364227,0.324193,1.047399,0.457352,0.680835
1.075,0.129968,2.906614,0.130808,2.836033,0.136571,2.711569,0.14861,2.336689,0.163217,2.025385,0.175053,1.760061,0.219059,1.364705,0.325555,1.047973,0.459025,0.681591
1.083333,0.129907,2.906619,0.13078,2.836078,0.136596,2.711597,0.148689,2.336782,0.163387,2.025475,0.175382,1.760136,0.219998,1.365058,0.327013,1.048561,0.460692,0.682273
1.091667,0.129882,2.906588,0.130681,2.83601,0.136586,2.711535,0.148932,2.336917,0.163442,2.025624,0.175721,1.760246,0.220826,1.365332,0.328256,1.048998,0.462376,0.682712
1.1,0.130333,2.906626,0.132226,2.836636,0.136612,2.711515,0.149064,2.337013,0.163567,2.025683,0.176328,1.760327,0.221536,1.365608,0.329462,1.049376,0.464146,0.683208
1.108333,0.13033,2.906672,0.130612,2.836201,0.136887,2.71113,0.149102,2.336805,0.163806,2.025521,0.176868,1.760167,0.222293,1.36577,0.330583,1.049633,0.465892,0.683788
1.116667,0.130334,2.906643,0.13065,2.836112,0.136903,2.711048,0.149202,2.336675,0.164137,2.025418,0.177406,1.760008,0.223186,1.365923,0.331824,1.049997,0.467488,0.68434
1.125,0.130183,2.906534,0.135769,2.831887,0.136933,2.710941,0.149389,2.336687,0.164575,2.025426,0.177809,1.75999,0.224139,1.366138,0.333166,1.050389,0.469019,0.684919
1.133333,0.13022,2.90654,0.135788,2.83175,0.13691,2.710913,0.149495,2.336829,0.164929,2.025528,0.178166,1.760164,0.224954,1.366419,0.33446,1.05076,0.470741,0.685519
1.141667,0.130124,2.906522,0.130588,2.836058,0.136855,2.710973,0.149516,2.336953,0.165193,2.025695,0.178621,1.760277,0.225737,1.366837,0.335605,1.051302,0.472606,0.686233
1.15,0.125517,2.905353,0.130519,2.836128,0.136516,2.711458,0.149443,2.337104,0.165365,2.025818,0.17903,1.760448,0.226481,1.367439,0.336773,1.052108,0.474207,0.687122
1.158333,0.125657,2.90578,0.130541,2.83614,0.136441,2.71166,0.149399,2.337313,0.165422,2.026005,0.179387,1.760732,0.227355,1.368138,0.337862,1.052802,0.475755,0.688068
